shot,n_total_files,n_failed_load,n_nan_or_invalid,n_tae_like,n_mixed,n_eae_like,n_sent_to_classifiers,n_gold_good,n_silver_good,n_good_before_clustering,n_final_good,n_final_bad,n_flagged,fraction_good,fraction_flagged,rf_cnn_agreement_fraction,mean_p_rf_good,mean_p_cnn_good,median_p_rf_good,median_p_cnn_good,mode_clusters_removed,fraction_tae_threshold,fraction_eae_threshold,signed_delta_eae_threshold,include_mixed_in_tae_like,gold_good_rf_threshold,gold_good_cnn_threshold,silver_good_rf_threshold,silver_good_cnn_threshold,cnn_rescue_rf_threshold,cnn_rescue_cnn_threshold,gold_bad_threshold,silver_bad_threshold,rf_only_good_threshold,rf_score_weight,cnn_score_weight
nstx_120113,541,0,0,133,41,367,174,44,2,47,47,127,12,0.27011494252873564,0.06896551724137931,0.9712643678160919,0.28601532567049814,0.31354965767452925,0.03333333333333333,0.028149936348199844,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_135388,1399,0,147,365,17,870,382,136,30,177,176,205,69,0.4607329842931937,0.1806282722513089,0.887434554973822,0.4562478184991274,0.5378796759825732,0.3516666666666667,0.691320538520813,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstx_141711,679,0,0,267,22,390,289,70,5,88,87,201,33,0.30103806228373703,0.11418685121107267,0.9307958477508651,0.3488465974625144,0.2671914014806401,0.14333333333333334,0.0042205690406262875,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE202855A01t020,125,0,0,78,1,46,79,16,21,38,38,41,29,0.4810126582278481,0.3670886075949367,0.7974683544303798,0.4073417721518987,0.5632180333766033,0.49666666666666665,0.8294972777366638,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE204669M03t025,973,0,0,195,22,756,217,49,18,71,71,146,33,0.3271889400921659,0.15207373271889402,0.8986175115207373,0.2987403993855607,0.3498788458230108,0.056666666666666664,0.09771648794412613,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuE205052A01t022,1486,0,0,267,28,1191,295,0,0,69,66,226,71,0.22372881355932203,0.24067796610169492,0.7661016949152543,0.246090395480226,0.32552748918533325,0.05333333333333334,0.32552748918533325,3,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG121123K51,837,0,0,206,2,629,208,2,12,28,28,180,57,0.1346153846153846,0.27403846153846156,0.8461538461538461,0.18014423076923075,0.13896356598650728,0.07,0.005112147890031338,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG133964S31,830,0,0,52,24,754,76,0,0,0,0,76,2,0.0,0.02631578947368421,0.9868421052631579,0.026973684210526313,0.015524878261422386,0.02,0.0,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxuG142301H47,1016,0,0,161,14,841,175,1,1,21,21,154,37,0.12,0.21142857142857144,0.8457142857142858,0.18900952380952382,0.06361787444596989,0.13,2.408880618531839e-06,0,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
nstxu_204202,725,0,0,261,14,450,275,53,7,67,66,208,21,0.24,0.07636363636363637,0.9563636363636364,0.26670303030303033,0.2470735782362129,0.06666666666666667,1.6007434169296175e-05,1,0.5,0.4,-0.1,True,0.7,0.6,0.5,0.5,0.4,0.9,0.2,0.4,0.5,0.5,0.5
