shot,nstxuE202855A01t020
n_total_files,125
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,78
n_mixed,1
n_eae_like,46
n_sent_to_classifiers,79
n_gold_good,31
n_silver_good,10
n_good_before_clustering,45
n_final_good,45
n_final_bad,34
n_flagged,12
fraction_good,0.569620253164557
fraction_flagged,0.1518987341772152
rf_cnn_agreement_fraction,0.9113924050632911
mean_p_rf_good,0.46767932489451464
mean_p_cnn_good,0.6075939336211611
median_p_rf_good,0.5633333333333334
median_p_cnn_good,1.0
mode_clusters_removed,0
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
