shot,nstxuG133964S31
n_total_files,830
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,52
n_mixed,24
n_eae_like,754
n_sent_to_classifiers,76
n_gold_good,0
n_silver_good,0
n_good_before_clustering,0
n_final_good,0
n_final_bad,76
n_flagged,0
fraction_good,0.0
fraction_flagged,0.0
rf_cnn_agreement_fraction,1.0
mean_p_rf_good,0.01219298245614035
mean_p_cnn_good,0.0017779491061037096
median_p_rf_good,0.006666666666666667
median_p_cnn_good,0.0
mode_clusters_removed,0
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
