shot,nstxuG142301H47
n_total_files,1016
n_failed_load,0
n_nan_or_invalid,0
n_tae_like,161
n_mixed,14
n_eae_like,841
n_sent_to_classifiers,175
n_gold_good,1
n_silver_good,0
n_good_before_clustering,2
n_final_good,2
n_final_bad,173
n_flagged,10
fraction_good,0.011428571428571429
fraction_flagged,0.05714285714285714
rf_cnn_agreement_fraction,0.9542857142857143
mean_p_rf_good,0.07579047619047619
mean_p_cnn_good,0.047479482728974655
median_p_rf_good,0.03
median_p_cnn_good,0.0
mode_clusters_removed,0
fraction_tae_threshold,0.5
fraction_eae_threshold,0.4
signed_delta_eae_threshold,-0.1
include_mixed_in_tae_like,True
gold_good_rf_threshold,0.7
gold_good_cnn_threshold,0.6
silver_good_rf_threshold,0.5
silver_good_cnn_threshold,0.5
cnn_rescue_rf_threshold,0.4
cnn_rescue_cnn_threshold,0.9
gold_bad_threshold,0.2
silver_bad_threshold,0.4
rf_only_good_threshold,0.5
rf_score_weight,0.5
cnn_score_weight,0.5
